@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
139,1,0,46.4896,11.7159,1.08866,31.7446,29.8221,4971.46,0.729506,2299.85,164.327,492.464,57875.7,2337.21,-26.9778,0.724859
140,1,0,46.0795,12.3979,1.155,34.3241,30.1249,4970.48,0.784146,2232.09,158.188,476.135,58204.4,2372.01,-29.716,0.749355
141,1,0,45.6203,13.093,1.22284,37.0933,30.423,4969.48,0.84101,2167.27,152.17,460.002,58520.8,2406.23,-32.6568,0.776185
142,1,0,45.1125,13.7993,1.292,40.0583,30.7165,4968.48,0.900006,2105.33,146.277,444.087,58825.1,2439.82,-35.8073,0.805517
143,1,0,44.5567,14.5152,1.36234,43.2248,31.0056,4967.48,0.961028,2046.2,140.515,428.408,59117.7,2472.73,-39.1741,0.83752
144,1,0,43.9538,15.239,1.43369,46.5979,31.2904,4966.47,1.02396,1989.82,134.888,412.984,59398.7,2504.93,-42.7633,0.872369
145,1,0,43.305,15.9689,1.50586,50.1821,31.5709,4965.46,1.08866,1936.11,129.4,397.831,59668.5,2536.35,-46.5806,0.910244
146,1,0,42.6117,16.7029,1.57868,53.9815,31.8475,4964.45,1.155,1885.01,124.054,382.965,59927.3,2566.98,-50.6309,0.951323
147,1,0,41.8754,17.4392,1.65197,57.9992,32.1202,4963.44,1.22284,1836.44,118.851,368.399,60175.4,2596.75,-54.9184,0.995791
148,1,0,41.0981,18.176,1.72553,62.2377,32.389,4962.44,1.292,1790.33,113.795,354.145,60413.1,2625.65,-59.447,1.04383
149,1,0,40.2818,18.9114,1.79919,66.6989,32.6543,4961.43,1.36234,1746.61,108.886,340.213,60640.7,2653.62,-64.2194,1.09563
150,1,0,39.4288,19.6435,1.87275,71.3838,32.916,4960.44,1.43369,1705.2,104.125,326.614,60858.4,2680.63,-69.2377,1.15137
151,1,0,38.5417,20.3704,1.94603,76.2925,33.1743,4959.46,1.50586,1666.04,99.5132,313.354,61066.7,2706.66,-74.5034,1.21124
152,1,0,37.623,21.0904,2.01884,81.4246,33.4294,4958.48,1.57868,1629.05,95.0493,300.44,61265.7,2731.66,-80.017,1.27542
153,1,0,36.6757,21.8017,2.091,86.7787,33.6813,4957.52,1.65197,1594.16,90.7332,287.876,61455.8,2755.63,-85.7782,1.3441
154,1,0,35.7026,22.5026,2.16234,92.3525,33.9301,4956.57,1.72553,1561.29,86.5639,275.668,61637.3,2778.53,-91.7859,1.41743
